column,dtype,unit_category,description,status,non_null,total,pct_populated,files_with_data,pct_files_with_data,example_value,documented
evtoebitda,numeric,ratio,Enterprise value to EBITDA.,kept,443,503,88.07,443,88.07,12.42,True
beta,numeric,ratio,Beta versus the market.,kept,501,503,99.6,501,99.6,1.514,True
52weekhigh,numeric,currency,52-week high price.,kept,503,503,100.0,503,100.0,75.58,True
52weeklow,numeric,currency,52-week low price.,kept,503,503,100.0,503,100.0,25.59,True
50daymovingaverage,numeric,currency,50-day moving average price.,kept,503,503,100.0,503,100.0,65.85,True
200daymovingaverage,numeric,currency,200-day moving average price.,kept,503,503,100.0,503,100.0,50.66,True
sharesoutstanding,numeric,shares,Shares outstanding.,kept,503,503,100.0,503,100.0,263890000,True
sharesfloat,numeric,shares,Public float (shares available for trading).,kept,503,503,100.0,503,100.0,262808000,True
percentinsiders,numeric,percent,Percent of shares held by insiders.,kept,503,503,100.0,503,100.0,0.545,True
percentinstitutions,numeric,percent,Percent of shares held by institutions.,kept,503,503,100.0,503,100.0,84.302,True
dividenddate,date,date,Next/most-recent dividend payment date.,kept,361,503,71.77,361,71.77,2026-06-05,True
exdividenddate,date,date,Ex-dividend date.,kept,366,503,72.76,366,72.76,2026-05-19,True
