column,dtype,unit_category,description,status,non_null,total,pct_populated,files_with_data,pct_files_with_data,example_value,documented
changeinreceivables,numeric,currency,Change in receivables.,kept,13541,47086,28.76,408,82.76,7000000,TRUE
commonstock,numeric,currency,Common stock at par/stated value.,kept,34356,47086,72.96,493,100,11915000000,TRUE
commonstocksharesoutstanding,numeric,shares,Number of common shares outstanding.,kept,35380,47086,75.14,493,100,247343000,TRUE
comprehensiveincomenetoftax,numeric,currency,Comprehensive income net of tax.,dropped_all_null,0,47086,0,0,0,,TRUE
costofgoodsandservicessold,numeric,currency,Direct cost of goods and services sold (COGS).,kept,35379,47086,75.14,493,100,10548000000,TRUE
costofrevenue,numeric,currency,Total cost of generating revenue.,kept,35379,47086,75.14,493,100,10548000000,TRUE
currentaccountspayable,numeric,currency,Accounts payable due within a year.,kept,34504,47086,73.28,493,100,1740000000,TRUE
currentdebt,numeric,currency,Debt due within a year.,dropped_all_null,0,47086,0,0,0,,TRUE
currentlongtermdebt,numeric,currency,Current portion of long-term debt.,kept,14095,47086,29.93,482,97.77,29000000,TRUE
currentnetreceivables,numeric,currency,Net receivables due within a year.,kept,33972,47086,72.15,490,99.39,712000000,TRUE
deferredrevenue,numeric,currency,Revenue received but not yet earned.,dropped_all_null,0,47086,0,0,0,,TRUE
depreciation,numeric,currency,Depreciation expense for the period.,dropped_all_null,0,47086,0,0,0,,TRUE
depreciationandamortization,numeric,currency,Combined depreciation and amortization expense.,kept,34633,47086,73.55,493,100,204000000,TRUE
depreciationdepletionandamortization,numeric,currency,"Depreciation, depletion & amortization (cash flow).",kept,34399,47086,73.06,493,100,954000000,TRUE
dividendpayout,numeric,currency,Total dividends paid.,kept,27240,47086,57.85,482,97.77,0,TRUE
dividendpayoutcommonstock,numeric,currency,Dividends paid on common stock.,kept,27240,47086,57.85,482,97.77,0,TRUE
dividendpayoutpreferredstock,numeric,currency,Dividends paid on preferred stock.,dropped_all_null,0,47086,0,0,0,,TRUE
ebit,numeric,currency,Earnings before interest and taxes.,kept,35476,47086,75.34,493,100,1216000000,TRUE
ebitda,numeric,currency,"Earnings before interest, taxes, depreciation & amortization.",kept,35067,47086,74.47,493,100,616000000,TRUE
goodwill,numeric,currency,Goodwill from acquisitions.,kept,29435,47086,62.51,482,97.77,160000000,TRUE
grossprofit,numeric,currency,Revenue less cost of goods/services sold.,kept,35554,47086,75.51,493,100,2599000000,TRUE
incomebeforetax,numeric,currency,Pre-tax income (EBT).,kept,35664,47086,75.74,493,100,-63000000,TRUE
incometaxexpense,numeric,currency,Income tax expense/provision.,kept,35521,47086,75.44,493,100,284000000,TRUE
intangibleassets,numeric,currency,Total intangible assets (incl. goodwill).,kept,30241,47086,64.23,485,98.38,230000000,TRUE
intangibleassetsexcludinggoodwill,numeric,currency,Intangible assets excluding goodwill.,kept,30241,47086,64.23,485,98.38,230000000,TRUE
interestanddebtexpense,numeric,currency,Combined interest and debt-related expense.,dropped_all_null,0,47086,0,0,0,,TRUE
interestexpense,numeric,currency,Expense incurred on debt/interest obligations.,kept,34609,47086,73.5,490,99.39,343000000,TRUE
interestincome,numeric,currency,Income earned from interest-bearing assets.,kept,10886,47086,23.12,479,97.16,50000000,TRUE
inventory,numeric,currency,Inventory carried on the balance sheet.,kept,32067,47086,68.1,489,99.19,1501000000,TRUE
investmentincomenet,numeric,currency,Net income earned from investments.,dropped_all_null,0,47086,0,0,0,,TRUE
investments,numeric,currency,Total investments held.,dropped_all_null,0,47086,0,0,0,,TRUE
longtermdebt,numeric,currency,Long-term debt.,kept,30123,47086,63.97,483,97.97,313000000,TRUE
longtermdebtnoncurrent,numeric,currency,Non-current portion of long-term debt.,dropped_all_null,0,47086,0,0,0,,TRUE
longterminvestments,numeric,currency,Long-term investments.,kept,14449,47086,30.69,404,81.95,1777000000,TRUE
netincome,numeric,currency,Bottom-line net income (profit) for the period.,kept,35838,47086,76.11,493,100,-256000000,TRUE
netincomefromcontinuingoperations,numeric,currency,Net income from continuing operations.,kept,33697,47086,71.56,492,99.8,-347000000,TRUE
netinterestincome,numeric,currency,Interest income net of interest expense.,kept,13236,47086,28.11,480,97.36,-30000000,TRUE
noninterestincome,numeric,currency,"Income from sources other than interest (fees, trading).",dropped_all_null,0,47086,0,0,0,,TRUE
operatingcashflow,numeric,currency,Net cash generated by operating activities.,kept,35238,47086,74.84,493,100,842000000,TRUE
operatingexpenses,numeric,currency,Total operating expenses.,kept,35671,47086,75.76,493,100,11931000000,TRUE
operatingincome,numeric,currency,Profit from core operations (revenue less operating costs).,kept,35701,47086,75.82,493,100,1167000000,TRUE
othercurrentassets,numeric,currency,Other current assets.,kept,34514,47086,73.3,493,100,438000000,TRUE
othercurrentliabilities,numeric,currency,Other current liabilities.,kept,34860,47086,74.03,493,100,825000000,TRUE
othernoncurrentassets,numeric,currency,Other non-current assets.,dropped_all_null,0,47086,0,0,0,,TRUE
othernoncurrentliabilities,numeric,currency,Other non-current liabilities.,kept,22183,47086,47.11,480,97.36,3902000000,TRUE
othernonoperatingincome,numeric,currency,Income/expense outside normal operations.,kept,13553,47086,28.78,407,82.56,106000000,TRUE
paymentsforoperatingactivities,numeric,currency,Cash payments for operating activities.,dropped_all_null,0,47086,0,0,0,,TRUE
paymentsforrepurchaseofcommonstock,numeric,currency,Cash paid to repurchase common stock.,dropped_all_null,0,47086,0,0,0,,TRUE
paymentsforrepurchaseofequity,numeric,currency,Cash paid to repurchase equity.,dropped_all_null,0,47086,0,0,0,,TRUE
paymentsforrepurchaseofpreferredstock,numeric,currency,Cash paid to repurchase preferred stock.,dropped_all_null,0,47086,0,0,0,,TRUE
proceedsfromissuanceofcommonstock,numeric,currency,Proceeds from issuing common stock.,dropped_all_null,0,47086,0,0,0,,TRUE
proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,numeric,currency,Net proceeds from issuing long-term debt/capital securities.,dropped_all_null,0,47086,0,0,0,,TRUE
proceedsfromissuanceofpreferredstock,numeric,currency,Proceeds from issuing preferred stock.,dropped_all_null,0,47086,0,0,0,,TRUE
proceedsfromoperatingactivities,numeric,currency,Cash proceeds from operating activities.,dropped_all_null,0,47086,0,0,0,,TRUE
proceedsfromrepaymentsofshorttermdebt,numeric,currency,Net proceeds/repayments of short-term debt.,dropped_all_null,0,47086,0,0,0,,TRUE
proceedsfromrepurchaseofequity,numeric,currency,Net proceeds/payments from equity repurchase.,kept,28953,47086,61.49,490,99.39,10000000,TRUE
proceedsfromsaleoftreasurystock,numeric,currency,Proceeds from sale of treasury stock.,dropped_all_null,0,47086,0,0,0,,TRUE
profitloss,numeric,currency,Profit/loss figure used in the cash flow statement.,dropped_all_null,0,47086,0,0,0,,TRUE
propertyplantequipment,numeric,currency,"Property, plant & equipment (net PP&E).",kept,29531,47086,62.72,487,98.78,11326000000,TRUE
researchanddevelopment,numeric,currency,Research & development expenditure.,kept,26397,47086,56.06,474,96.15,95000000,TRUE
retainedearnings,numeric,currency,Cumulative retained earnings.,kept,34516,47086,73.3,493,100,-6000000,TRUE
sellinggeneralandadministrative,numeric,currency,"Selling, general & administrative expenses (SG&A).",kept,34640,47086,73.57,493,100,478000000,TRUE
shortlongtermdebttotal,numeric,currency,Total short- plus long-term debt.,kept,32753,47086,69.56,493,100,225000000,TRUE
shorttermdebt,numeric,currency,Short-term debt.,kept,31849,47086,67.64,493,100,29000000,TRUE
shortterminvestments,numeric,currency,Short-term / marketable investments.,kept,26044,47086,55.31,491,99.59,1228000000,TRUE
stockbasedcompensation,numeric,currency,Stock-based compensation expense.,kept,30398,47086,64.56,491,99.59,11000000,TRUE
totalassets,numeric,currency,Total assets.,kept,35234,47086,74.83,493,100,18680000000,TRUE
totalcurrentassets,numeric,currency,Assets expected to convert to cash within a year.,kept,35016,47086,74.37,493,100,2917000000,TRUE
totalcurrentliabilities,numeric,currency,Obligations due within a year.,kept,35118,47086,74.58,493,100,2735000000,TRUE
totalliabilities,numeric,currency,Total liabilities.,kept,35189,47086,74.73,493,100,5607000000,TRUE
totalnoncurrentassets,numeric,currency,Long-term (non-current) assets.,kept,34813,47086,73.93,493,100,13847000000,TRUE
totalnoncurrentliabilities,numeric,currency,Long-term (non-current) liabilities.,kept,34572,47086,73.42,493,100,2496000000,TRUE
totalrevenue,numeric,currency,Total revenue / net sales for the period.,kept,35627,47086,75.66,493,100,13147000000,TRUE
totalshareholderequity,numeric,currency,Total shareholders' equity.,kept,35201,47086,74.76,493,100,10599000000,TRUE
treasurystock,numeric,currency,Treasury stock (repurchased shares).,kept,19051,47086,40.46,443,89.86,0,TRUE
