date,rate,,,,,
01/11/2018,0.7837,,,,,
01/10/2018,0.7833,,,,,
01/09/2018,0.7673,,,,,
01/08/2018,0.7712,,,,,
01/07/2018,0.7617,,,,,
01/06/2018,0.757,,,,,
01/05/2018,0.7517,,,,,
01/04/2018,0.726,,,,,
01/03/2018,0.7133,,,,,
01/02/2018,0.7266,,,,,
01/01/2018,0.7045,,,,,
01/12/2017,0.7398,,,,,
01/11/2017,0.7392,,,,,
01/10/2017,0.7528,,,,,
01/09/2017,0.7464,,,,,
01/08/2017,0.7733,,,,,
01/07/2017,0.7567,,,,,
01/06/2017,0.7675,,,,,
01/05/2017,0.7757,,,,,
01/04/2017,0.7719,,,,,
01/03/2017,0.7964,,,,,
01/02/2017,0.8077,,,,,
01/01/2017,0.7948,,,,,
01/12/2016,0.8103,,,,,
01/11/2016,0.7995,,,,,
01/10/2016,0.8166,,,,,
01/09/2016,0.7705,,,,,
01/08/2016,0.7611,,,,,
01/07/2016,0.756,,,,,
01/06/2016,0.7511,,,,,
01/05/2016,0.6907,,,,,
01/04/2016,0.6842,,,,,
01/03/2016,0.6961,,,,,
01/02/2016,0.7185,,,,,
01/01/2016,0.7018,,,,,
01/12/2015,0.6784,,,,,
01/11/2015,0.6641,,,,,
01/10/2015,0.6481,,,,,
01/09/2015,0.6609,,,,,
01/08/2015,0.6517,,,,,
01/07/2015,0.64,,,,,
01/06/2015,0.6364,,,,,
01/05/2015,0.6539,,,,,
01/04/2015,0.6513,,,,,
01/03/2015,0.6748,,,,,
01/02/2015,0.6478,,,,,
01/01/2015,0.6635,,,,,
01/12/2014,0.642,,,,,
01/11/2014,0.6389,,,,,
01/10/2014,0.625,,,,,
01/09/2014,0.6167,,,,,
01/08/2014,0.6024,,,,,
01/07/2014,0.5921,,,,,
01/06/2014,0.5845,,,,,
01/05/2014,0.5969,,,,,
01/04/2014,0.5926,,,,,
01/03/2014,0.6001,,,,,
01/02/2014,0.5971,,,,,
01/01/2014,0.6083,,,,,
01/12/2013,0.6039,,,,,
01/11/2013,0.6109,,,,,
01/10/2013,0.6232,,,,,
01/09/2013,0.6177,,,,,
01/08/2013,0.6447,,,,,
01/07/2013,0.6575,,,,,
01/06/2013,0.6573,,,,,
01/05/2013,0.6579,,,,,
01/04/2013,0.6437,,,,,
01/03/2013,0.6575,,,,,
01/02/2013,0.6592,,,,,
01/01/2013,0.6305,,,,,
01/12/2012,0.6158,,,,,
01/11/2012,0.6241,,,,,
01/10/2012,0.6199,,,,,
01/09/2012,0.6185,,,,,
01/08/2012,0.6302,,,,,
01/07/2012,0.6379,,,,,
01/06/2012,0.6365,,,,,
01/05/2012,0.6491,,,,,
01/04/2012,0.616,,,,,
01/03/2012,0.6244,,,,,
01/02/2012,0.6281,,,,,
01/01/2012,0.6346,,,,,
01/12/2011,0.6435,,,,,
01/11/2011,0.6371,,,,,
01/10/2011,0.6213,,,,,
01/09/2011,0.6416,,,,,
01/08/2011,0.6152,,,,,
01/07/2011,0.6089,,,,,
01/06/2011,0.6231,,,,,
01/05/2011,0.6078,,,,,
01/04/2011,0.5986,,,,,
01/03/2011,0.6237,,,,,
01/02/2011,0.615,,,,,
01/01/2011,0.6241,,,,,
01/12/2010,0.6409,,,,,
01/11/2010,0.6428,,,,,
01/10/2010,0.6233,,,,,
01/09/2010,0.6363,,,,,
01/08/2010,0.6514,,,,,
01/07/2010,0.6375,,,,,
01/06/2010,0.669,,,,,
01/05/2010,0.6878,,,,,
01/04/2010,0.6549,,,,,
01/03/2010,0.6586,,,,,
01/02/2010,0.6558,,,,,
01/01/2010,0.6249,,,,,
01/12/2009,0.619,,,,,
01/11/2009,0.6077,,,,,
01/10/2009,0.6082,,,,,
01/09/2009,0.6248,,,,,
01/08/2009,0.6141,,,,,
01/07/2009,0.5981,,,,,
01/06/2009,0.6071,,,,,
01/05/2009,0.6179,,,,,
01/04/2009,0.6765,,,,,
01/03/2009,0.6982,,,,,
01/02/2009,0.6988,,,,,
01/01/2009,0.6889,,,,,
01/12/2008,0.6843,,,,,
01/11/2008,0.6499,,,,,
01/10/2008,0.6223,,,,,
01/09/2008,0.5609,,,,,
01/08/2008,0.5491,,,,,
01/07/2008,0.5041,,,,,
01/06/2008,0.5018,,,,,
01/05/2008,0.5044,,,,,
01/04/2008,0.5033,,,,,
01/03/2008,0.5042,,,,,
01/02/2008,0.5033,,,,,
01/01/2008,0.503,,,,,
01/12/2007,0.5039,,,,,
01/11/2007,0.4863,,,,,
01/10/2007,0.4804,,,,,
01/09/2007,0.4885,,,,,
01/08/2007,0.4961,,,,,
01/07/2007,0.4929,,,,,
01/06/2007,0.4975,,,,,
01/05/2007,0.505,,,,,
01/04/2007,0.5002,,,,,
01/03/2007,0.5081,,,,,
01/02/2007,0.5091,,,,,
01/01/2007,0.5091,,,,,
01/12/2006,0.5106,,,,,
01/11/2006,0.5088,,,,,
01/10/2006,0.5242,,,,,
01/09/2006,0.5342,,,,,
01/08/2006,0.5251,,,,,
01/07/2006,0.5354,,,,,
01/06/2006,0.5412,,,,,
01/05/2006,0.5347,,,,,
01/04/2006,0.5475,,,,,
01/03/2006,0.5753,,,,,
01/02/2006,0.5702,,,,,
01/01/2006,0.5622,,,,,
01/12/2005,0.5809,,,,,
01/11/2005,0.5782,,,,,
01/10/2005,0.5649,,,,,
01/09/2005,0.5669,,,,,
01/08/2005,0.5544,,,,,
01/07/2005,0.5692,,,,,
01/06/2005,0.5583,,,,,
01/05/2005,0.5502,,,,,
01/04/2005,0.524,,,,,
01/03/2005,0.5291,,,,,
01/02/2005,0.5202,,,,,
01/01/2005,0.531,,,,,
01/12/2004,0.5212,,,,,
01/11/2004,0.5233,,,,,
01/10/2004,0.544,,,,,
01/09/2004,0.5519,,,,,
01/08/2004,0.5548,,,,,
01/07/2004,0.5494,,,,,
01/06/2004,0.5496,,,,,
01/05/2004,0.5458,,,,,
01/04/2004,0.562,,,,,
01/03/2004,0.5417,,,,,
01/02/2004,0.5353,,,,,
01/01/2004,0.5482,,,,,
01/12/2003,0.56,,,,,
01/11/2003,0.5805,,,,,
01/10/2003,0.5899,,,,,
01/09/2003,0.6018,,,,,
01/08/2003,0.6339,,,,,
01/07/2003,0.6211,,,,,
01/06/2003,0.6042,,,,,
01/05/2003,0.6111,,,,,
01/04/2003,0.6256,,,,,
01/03/2003,0.6316,,,,,
01/02/2003,0.6355,,,,,
01/01/2003,0.6069,,,,,
01/12/2002,0.6202,,,,,
01/11/2002,0.6422,,,,,
01/10/2002,0.6391,,,,,
01/09/2002,0.6375,,,,,
01/08/2002,0.6452,,,,,
01/07/2002,0.6395,,,,,
01/06/2002,0.6521,,,,,
01/05/2002,0.6877,,,,,
01/04/2002,0.6861,,,,,
01/03/2002,0.7014,,,,,
01/02/2002,0.7063,,,,,
01/01/2002,0.7089,,,,,
01/12/2001,0.6875,,,,,
01/11/2001,0.7022,,,,,
01/10/2001,0.6875,,,,,
01/09/2001,0.6782,,,,,
01/08/2001,0.6878,,,,,
01/07/2001,0.7018,,,,,
01/06/2001,0.7063,,,,,
01/05/2001,0.705,,,,,
01/04/2001,0.6982,,,,,
01/03/2001,0.7063,,,,,
01/02/2001,0.6921,,,,,
01/01/2001,0.6832,,,,,
01/12/2000,0.6685,,,,,
01/11/2000,0.701,,,,,
01/10/2000,0.6905,,,,,
01/09/2000,0.6774,,,,,
01/08/2000,0.6907,,,,,
01/07/2000,0.6675,,,,,
01/06/2000,0.6599,,,,,
01/05/2000,0.6676,,,,,
01/04/2000,0.642,,,,,
01/03/2000,0.6276,,,,,
01/02/2000,0.6334,,,,,
01/01/2000,0.618,,,,,
01/12/1999,0.6192,,,,,
01/11/1999,0.6268,,,,,
01/10/1999,0.6091,,,,,
01/09/1999,0.6072,,,,,
01/08/1999,0.6228,,,,,
01/07/1999,0.6171,,,,,
01/06/1999,0.6342,,,,,
01/05/1999,0.6243,,,,,
01/04/1999,0.6213,,,,,
01/03/1999,0.6203,,,,,
01/02/1999,0.6243,,,,,
01/01/1999,0.6081,,,,,
01/12/1998,0.6028,,,,,
01/11/1998,0.6062,,,,,
01/10/1998,0.597,,,,,
01/09/1998,0.5886,,,,,
01/08/1998,0.5979,,,,,
01/07/1998,0.6117,,,,,
01/06/1998,0.5998,,,,,
01/05/1998,0.6132,,,,,
01/04/1998,0.5983,,,,,
01/03/1998,0.5975,,,,,
01/02/1998,0.6079,,,,,
01/01/1998,0.612,,,,,
01/12/1997,0.6075,,,,,
01/11/1997,0.5929,,,,,
01/10/1997,0.5971,,,,,
01/09/1997,0.6186,,,,,
01/08/1997,0.617,,,,,
01/07/1997,0.6103,,,,,
01/06/1997,0.6009,,,,,
01/05/1997,0.6101,,,,,
01/04/1997,0.6161,,,,,
01/03/1997,0.6119,,,,,
01/02/1997,0.6139,,,,,
01/01/1997,0.6241,,,,,
01/12/1996,0.5841,,,,,
01/11/1996,0.5949,,,,,
01/10/1996,0.6144,,,,,
01/09/1996,0.6392,,,,,
01/08/1996,0.6401,,,,,
01/07/1996,0.6428,,,,,
01/06/1996,0.6439,,,,,
01/05/1996,0.6451,,,,,
01/04/1996,0.6653,,,,,
01/03/1996,0.6552,,,,,
01/02/1996,0.6531,,,,,
01/01/1996,0.6615,,,,,
01/12/1995,0.645,,,,,
01/11/1995,0.654,,,,,
01/10/1995,0.6326,,,,,
01/09/1995,0.6319,,,,,
01/08/1995,0.6456,,,,,
01/07/1995,0.6246,,,,,
01/06/1995,0.6286,,,,,
01/05/1995,0.629,,,,,
01/04/1995,0.6212,,,,,
01/03/1995,0.6143,,,,,
01/02/1995,0.6326,,,,,
01/01/1995,0.6301,,,,,
01/12/1994,0.6392,,,,,
01/11/1994,0.6389,,,,,
01/10/1994,0.6133,,,,,
01/09/1994,0.634,,,,,
01/08/1994,0.6504,,,,,
01/07/1994,0.6507,,,,,
01/06/1994,0.648,,,,,
01/05/1994,0.6614,,,,,
01/04/1994,0.6594,,,,,
01/03/1994,0.6736,,,,,
01/02/1994,0.6728,,,,,
01/01/1994,0.6671,,,,,
01/12/1993,0.6766,,,,,
01/11/1993,0.675,,,,,
01/10/1993,0.672,,,,,
01/09/1993,0.6675,,,,,
01/08/1993,0.6719,,,,,
01/07/1993,0.6752,,,,,
01/06/1993,0.6664,,,,,
01/05/1993,0.6396,,,,,
01/04/1993,0.6376,,,,,
01/03/1993,0.6639,,,,,
01/02/1993,0.704,,,,,
01/01/1993,0.6718,,,,,
01/12/1992,0.6601,,,,,
01/11/1992,0.66,,,,,
01/10/1992,0.6397,,,,,
01/09/1992,0.5627,,,,,
01/08/1992,0.5039,,,,,
01/07/1992,0.5191,,,,,
01/06/1992,0.5255,,,,,
01/05/1992,0.5461,,,,,
01/04/1992,0.5641,,,,,
01/03/1992,0.5764,,,,,
01/02/1992,0.5688,,,,,
01/01/1992,0.5579,,,,,
01/12/1991,0.5354,,,,,
01/11/1991,0.5672,,,,,
01/10/1991,0.5754,,,,,
01/09/1991,0.5713,,,,,
01/08/1991,0.5967,,,,,
01/07/1991,0.5938,,,,,
01/06/1991,0.6167,,,,,
01/05/1991,0.5872,,,,,
01/04/1991,0.5812,,,,,
01/03/1991,0.5752,,,,,
01/02/1991,0.5226,,,,,
01/01/1991,0.5105,,,,,
01/12/1990,0.5183,,,,,
01/11/1990,0.5163,,,,,
01/10/1990,0.5143,,,,,
01/09/1990,0.5346,,,,,
01/08/1990,0.5289,,,,,
01/07/1990,0.5379,,,,,
01/06/1990,0.5734,,,,,
01/05/1990,0.5961,,,,,
01/04/1990,0.6116,,,,,
01/03/1990,0.6077,,,,,
01/02/1990,0.5915,,,,,
01/01/1990,0.5952,,,,,
01/12/1989,0.6202,,,,,
01/11/1989,0.6373,,,,,
01/10/1989,0.633,,,,,
01/09/1989,0.6177,,,,,
01/08/1989,0.6355,,,,,
01/07/1989,0.602,,,,,
01/06/1989,0.6451,,,,,
01/05/1989,0.6361,,,,,
01/04/1989,0.5924,,,,,
01/03/1989,0.5933,,,,,
01/02/1989,0.5737,,,,,
01/01/1989,0.5695,,,,,
01/12/1988,0.5531,,,,,
01/11/1988,0.5411,,,,,
01/10/1988,0.5651,,,,,
01/09/1988,0.5931,,,,,
01/08/1988,0.5949,,,,,
01/07/1988,0.5843,,,,,
01/06/1988,0.5863,,,,,
01/05/1988,0.5434,,,,,
01/04/1988,0.5321,,,,,
01/03/1988,0.5306,,,,,
01/02/1988,0.564,,,,,
01/01/1988,0.565,,,,,
01/12/1987,0.5299,,,,,
01/11/1987,0.5459,,,,,
01/10/1987,0.5804,,,,,
01/09/1987,0.6139,,,,,
01/08/1987,0.6133,,,,,
01/07/1987,0.6277,,,,,
01/06/1987,0.6202,,,,,
01/05/1987,0.6142,,,,,
01/04/1987,0.6022,,,,,
01/03/1987,0.6234,,,,,
01/02/1987,0.6466,,,,,
01/01/1987,0.6603,,,,,
01/12/1986,0.674,,,,,
01/11/1986,0.6958,,,,,
01/10/1986,0.71,,,,,
01/09/1986,0.6908,,,,,
01/08/1986,0.6723,,,,,
01/07/1986,0.6702,,,,,
01/06/1986,0.6521,,,,,
01/05/1986,0.6791,,,,,
01/04/1986,0.6437,,,,,
01/03/1986,0.6766,,,,,
01/02/1986,0.6894,,,,,
01/01/1986,0.7099,,,,,
01/12/1985,0.6918,,,,,
01/11/1985,0.671,,,,,
01/10/1985,0.692,,,,,
01/09/1985,0.7107,,,,,
01/08/1985,0.7161,,,,,
01/07/1985,0.7062,,,,,
01/06/1985,0.7622,,,,,
01/05/1985,0.7773,,,,,
01/04/1985,0.8074,,,,,
01/03/1985,0.813,,,,,
01/02/1985,0.9242,,,,,
01/01/1985,0.8852,,,,,
01/12/1984,0.8636,,,,,
01/11/1984,0.8308,,,,,
01/10/1984,0.8219,,,,,
01/09/1984,0.8073,,,,,
01/08/1984,0.7635,,,,,
01/07/1984,0.7628,,,,,
01/06/1984,0.7373,,,,,
01/05/1984,0.7212,,,,,
01/04/1984,0.7162,,,,,
01/03/1984,0.6937,,,,,
01/02/1984,0.6705,,,,,
01/01/1984,0.7126,,,,,
01/12/1983,0.6887,,,,,
01/11/1983,0.6819,,,,,
01/10/1983,0.6692,,,,,
01/09/1983,0.6689,,,,,
01/08/1983,0.6695,,,,,
01/07/1983,0.6577,,,,,
01/06/1983,0.6516,,,,,
01/05/1983,0.6226,,,,,
01/04/1983,0.6402,,,,,
01/03/1983,0.6749,,,,,
01/02/1983,0.6598,,,,,
01/01/1983,0.6556,,,,,
01/12/1982,0.6182,,,,,
01/11/1982,0.6193,,,,,
01/10/1982,0.5965,,,,,
01/09/1982,0.5901,,,,,
01/08/1982,0.5823,,,,,
01/07/1982,0.5745,,,,,
01/06/1982,0.5737,,,,,
01/05/1982,0.5577,,,,,
01/04/1982,0.5565,,,,,
01/03/1982,0.5608,,,,,
01/02/1982,0.5487,,,,,
01/01/1982,0.5309,,,,,
01/12/1981,0.5233,,,,,
01/11/1981,0.5102,,,,,
01/10/1981,0.5419,,,,,
01/09/1981,0.5523,,,,,
01/08/1981,0.5419,,,,,
01/07/1981,0.5411,,,,,
01/06/1981,0.5159,,,,,
01/05/1981,0.483,,,,,
01/04/1981,0.4662,,,,,
01/03/1981,0.446,,,,,
01/02/1981,0.4539,,,,,
01/01/1981,0.421,,,,,
01/12/1980,0.4181,,,,,
01/11/1980,0.424,,,,,
01/10/1980,0.4103,,,,,
01/09/1980,0.4187,,,,,
01/08/1980,0.4177,,,,,
01/07/1980,0.4266,,,,,
01/06/1980,0.4243,,,,,
01/05/1980,0.4264,,,,,
01/04/1980,0.4435,,,,,
01/03/1980,0.4621,,,,,
01/02/1980,0.4397,,,,,
01/01/1980,0.4411,,,,,
01/12/1979,0.4494,,,,,
01/11/1979,0.455,,,,,
01/10/1979,0.4806,,,,,
01/09/1979,0.4541,,,,,
01/08/1979,0.4436,,,,,
01/07/1979,0.4426,,,,,
01/06/1979,0.4605,,,,,
01/05/1979,0.4826,,,,,
01/04/1979,0.4834,,,,,
01/03/1979,0.4839,,,,,
01/02/1979,0.4943,,,,,
01/01/1979,0.502,,,,,
01/12/1978,0.49,,,,,
01/11/1978,0.5143,,,,,
01/10/1978,0.4793,,,,,
01/09/1978,0.5066,,,,,
01/08/1978,0.5149,,,,,
01/07/1978,0.5181,,,,,
01/06/1978,0.5375,,,,,
01/05/1978,0.5469,,,,,
01/04/1978,0.5474,,,,,
01/03/1978,0.5369,,,,,
01/02/1978,0.5164,,,,,
01/01/1978,0.5123,,,,,
01/12/1977,0.5212,,,,,
01/11/1977,0.5505,,,,,
01/10/1977,0.5436,,,,,
01/09/1977,0.5722,,,,,
01/08/1977,0.5738,,,,,
01/07/1977,0.5755,,,,,
01/06/1977,0.5813,,,,,
01/05/1977,0.5818,,,,,
01/04/1977,0.5816,,,,,
01/03/1977,0.5814,,,,,
01/02/1977,0.5838,,,,,
01/01/1977,0.5831,,,,,
01/12/1976,0.5875,,,,,
01/11/1976,0.605,,,,,
01/10/1976,0.6305,,,,,
01/09/1976,0.5995,,,,,
01/08/1976,0.5631,,,,,
01/07/1976,0.5605,,,,,
01/06/1976,0.5605,,,,,
01/05/1976,0.5685,,,,,
01/04/1976,0.5432,,,,,
01/03/1976,0.5222,,,,,
01/02/1976,0.4938,,,,,
01/01/1976,0.4929,,,,,
01/12/1975,0.4943,,,,,
01/11/1975,0.495,,,,,
01/10/1975,0.4812,,,,,
01/09/1975,0.4895,,,,,
01/08/1975,0.4739,,,,,
01/07/1975,0.4648,,,,,
01/06/1975,0.4578,,,,,
01/05/1975,0.4316,,,,,
01/04/1975,0.4251,,,,,
01/03/1975,0.4162,,,,,
01/02/1975,0.4117,,,,,
